Date,Open,High,Low,Close,Adj Close,Volume
1/21/20,59.169998,59.73,57.68,58.34,58.34,122561
1/22/20,58.259998,58.380001,56.029999,56.740002,56.740002,648335
1/23/20,56.110001,56.27,54.77,55.59,55.59,620119
1/24/20,55.689999,55.950001,53.849998,54.189999,54.189999,703995
1/27/20,53.700001,53.709999,52.130001,53.139999,53.139999,586195
1/28/20,52.77,54.060001,52.68,53.48,53.48,712880
1/29/20,53.970001,54.369999,52.810001,53.330002,53.330002,633963
1/30/20,53.09,53.200001,51.66,52.139999,52.139999,624979
1/31/20,52.919998,53.360001,50.970001,51.560001,51.560001,720123
2/3/20,51.009998,51.970001,49.799999,50.110001,50.110001,827907
2/4/20,49.939999,51.549999,49.310001,49.610001,49.610001,876044
2/5/20,49.509998,51.880001,49.470001,50.75,50.75,859357
2/6/20,51.169998,52.200001,50.240002,50.950001,50.950001,887946
2/7/20,51.110001,51.48,50.09,50.32,50.32,750659
2/10/20,50.119999,50.490002,49.419998,49.57,49.57,768345
2/11/20,49.610001,50.689999,49.580002,49.939999,49.939999,715894
2/12/20,49.959999,51.73,49.950001,51.169998,51.169998,725733
2/13/20,51.720001,51.959999,50.599998,51.419998,51.419998,795256
2/14/20,51.509998,52.34,51.32,52.049999,52.049999,745400
2/18/20,52.23,52.41,50.880001,52.049999,52.049999,607343
2/19/20,52.119999,53.66,51.93,53.290001,53.290001,221774
2/20/20,53.5,54.5,53.220001,53.779999,53.779999,113683
2/21/20,53.740002,53.860001,52.549999,53.380001,53.380001,676179
2/24/20,52.599998,52.639999,50.450001,51.43,51.43,707555
2/25/20,51.369999,52.02,49.689999,49.900002,49.900002,765515
2/26/20,50.080002,50.439999,48.299999,48.73,48.73,764989
2/27/20,47.939999,48.380001,45.880001,46.799999,46.799999,446151617
2/28/20,46.490002,47.029999,43.849998,47.09,47.09,1059301
3/2/20,43.700001,47.560001,43.32,44.759998,44.759998,918575
3/3/20,47.720001,48.66,46.470001,46.75,46.75,985670
3/4/20,46.939999,48.41,46.650002,47.18,47.18,724225
3/5/20,47.130001,47.57,45.650002,46.779999,46.779999,683404
3/6/20,46.09,46.380001,41.049999,45.900002,45.900002,1204734
3/8/20,32.869999,33.59,30,32.5,32.5,9423555
3/9/20,32.869999,34.880001,27.34,41.279999,41.279999,1693652
